                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1744,                 1.4383,                0.56382,                0.84513,                0.88595,                0.87979,                0.93726,                0.58771,                0.76818,                0.70383,                0.76857,                0.32148,                 1.1668,                 1.5664,                0.56081,                0.85266,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.1732,                 1.4708,                0.56287,                0.84772,                0.86455,                0.86934,                0.92992,                0.54954,                0.76158,                0.66202,                0.72118,                0.28246,                 1.2804,                 1.6927,                0.58491,                0.86168,               0.001472,               0.001472,               0.001472
                     82,                 1.2579,                 1.5118,                0.59299,                0.84932,                0.86025,                0.91638,                0.93869,                0.58325,                0.79336,                0.72906,                0.79341,                0.32639,                  1.189,                 1.3573,                0.56987,                0.85391,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.2258,                 1.4811,                0.58426,                0.85003,                0.85941,                0.88391,                 0.9343,                0.55972,                0.73279,                0.69753,                0.74457,                0.30717,                 1.2369,                 1.4608,                0.57089,                 0.8609,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.1703,                 1.4122,                0.56764,                0.84294,                0.84879,                0.89968,                0.93443,                0.58376,                0.74331,                0.71637,                0.75744,                0.30075,                 1.2024,                 1.3832,                0.57019,                0.85898,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.2263,                 1.4296,                0.58506,                0.84767,                0.88146,                0.86585,                0.93644,                0.57619,                0.75889,                0.70209,                0.75887,                0.30637,                 1.2099,                  1.367,                0.57859,                0.85716,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.2142,                 1.4158,                0.58054,                0.84638,                0.89521,                 0.8885,                0.94403,                0.59021,                0.80565,                0.75831,                0.82104,                0.37226,                 1.1596,                 1.3913,                0.56093,                0.85031,               0.001439,               0.001439,               0.001439
                     87,                 1.2059,                  1.416,                0.56394,                0.84409,                0.86196,                0.90289,                0.94124,                0.58456,                0.77351,                0.70383,                0.77084,                0.31416,                 1.1941,                 1.3776,                0.56751,                0.85509,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.1271,                 1.3662,                0.54662,                0.83964,                0.89269,                0.88328,                0.94515,                0.59366,                0.77824,                0.72474,                0.78966,                0.34674,                 1.1575,                 1.4089,                0.56243,                0.85292,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.1447,                 1.3845,                0.54875,                0.83937,                0.87143,                0.89744,                0.93763,                0.59149,                 0.7964,                0.70732,                0.78323,                0.34419,                 1.1441,                 1.5037,                0.56817,                0.85003,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.1394,                 1.3886,                0.55418,                0.84579,                0.87863,                0.89543,                0.94084,                0.58122,                0.78327,                0.73693,                0.78934,                0.35054,                 1.2086,                 1.5089,                0.56174,                0.85985,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.1584,                  1.407,                0.55736,                0.84784,                0.90196,                0.86546,                0.93757,                0.59092,                0.78413,                0.72776,                0.78702,                0.33715,                 1.1751,                 1.3598,                0.57287,                0.85801,               0.001406,               0.001406,               0.001406
                     92,                 1.2277,                 1.4684,                0.59509,                 0.8438,                0.88262,                0.89024,                0.93731,                0.60242,                0.76604,                0.75295,                0.78574,                0.36086,                 1.1328,                 1.3364,                0.55498,                0.85427,              0.0013994,              0.0013994,              0.0013994
