                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.693,                  1.978,                0.98025,                0.91028,                0.73289,                0.77391,                0.77211,                0.42258,                0.70219,                0.71795,                0.68124,                0.34545,                 1.4689,                 1.6766,                0.85314,                 0.8854,               0.001641,               0.001641,               0.001641
                     86,                 1.6781,                 2.1128,                0.98668,                0.92451,                0.77001,                0.79411,                0.79177,                0.44384,                 0.7086,                0.73077,                0.68806,                0.32381,                 1.3807,                  1.637,                0.83927,                0.87276,               0.001633,               0.001633,               0.001633
                     87,                 1.4562,                 1.6388,                0.90344,                0.89719,                0.77001,                0.79411,                0.79177,                0.44384,                 0.7086,                0.73077,                0.68806,                0.32381,                 1.3807,                  1.637,                0.83927,                0.87276,              0.0016249,              0.0016249,              0.0016249
                     88,                 1.5343,                 1.7086,                0.92613,                0.88821,                0.77001,                0.79411,                0.79177,                0.44384,                 0.7086,                0.73077,                0.68806,                0.32381,                 1.3807,                  1.637,                0.83927,                0.87276,              0.0016168,              0.0016168,              0.0016168
                     89,                 1.5155,                 1.7207,                0.92625,                0.89518,                0.77001,                0.79411,                0.79177,                0.44384,                 0.7086,                0.73077,                0.68806,                0.32381,                 1.3807,                  1.637,                0.83927,                0.87276,              0.0016086,              0.0016086,              0.0016086
                     90,                  1.656,                 1.9817,                 1.0001,                 0.9076,                0.75805,                0.80128,                0.80166,                0.47062,                0.68294,                0.69231,                0.66074,                0.28448,                 1.3325,                 1.5883,                0.83347,                 0.8598,              0.0016003,              0.0016003,              0.0016003
                     91,                 1.5294,                  1.736,                0.91104,                  0.894,                0.75805,                0.80128,                0.80166,                0.47062,                0.68294,                0.69231,                0.66074,                0.28448,                 1.3325,                 1.5883,                0.83347,                 0.8598,              0.0015919,              0.0015919,              0.0015919
                     92,                 1.6605,                 1.7726,                 1.0906,                0.89734,                0.75805,                0.80128,                0.80166,                0.47062,                0.68294,                0.69231,                0.66074,                0.28448,                 1.3325,                 1.5883,                0.83347,                 0.8598,              0.0015835,              0.0015835,              0.0015835
                     93,                 1.6381,                  1.826,                0.92032,                0.88476,                0.75805,                0.80128,                0.80166,                0.47062,                0.68294,                0.69231,                0.66074,                0.28448,                 1.3325,                 1.5883,                0.83347,                 0.8598,               0.001575,               0.001575,               0.001575
                     94,                 1.4787,                 1.6317,                0.91971,                0.88507,                0.74762,                0.82051,                0.79724,                0.45958,                0.69126,                0.72436,                0.66906,                0.28131,                 1.3215,                 1.5771,                0.83034,                0.85647,              0.0015665,              0.0015665,              0.0015665
                     95,                 1.6142,                   1.98,                0.94894,                0.93025,                0.74762,                0.82051,                0.79724,                0.45958,                0.69126,                0.72436,                0.66906,                0.28131,                 1.3215,                 1.5771,                0.83034,                0.85647,              0.0015579,              0.0015579,              0.0015579
                     96,                 1.6286,                 1.8418,                0.90836,                0.88369,                0.74762,                0.82051,                0.79724,                0.45958,                0.69126,                0.72436,                0.66906,                0.28131,                 1.3215,                 1.5771,                0.83034,                0.85647,              0.0015492,              0.0015492,              0.0015492
                     97,                 1.5827,                 1.7137,                0.88521,                0.87539,                0.74762,                0.82051,                0.79724,                0.45958,                0.69126,                0.72436,                0.66906,                0.28131,                 1.3215,                 1.5771,                0.83034,                0.85647,              0.0015405,              0.0015405,              0.0015405
                     98,                 1.5518,                 1.8163,                0.93272,                0.91725,                0.78281,                0.77564,                0.81467,                0.46261,                0.71241,                0.71154,                0.70144,                0.35079,                 1.3399,                 1.6285,                0.79146,                0.86902,              0.0015317,              0.0015317,              0.0015317
                     99,                 1.5616,                 1.6502,                 0.9392,                0.90352,                0.78281,                0.77564,                0.81467,                0.46261,                0.71241,                0.71154,                0.70144,                0.35079,                 1.3399,                 1.6285,                0.79146,                0.86902,              0.0015228,              0.0015228,              0.0015228
                    100,                 1.6392,                 2.0325,                0.94421,                0.91567,                0.78281,                0.77564,                0.81467,                0.46261,                0.71241,                0.71154,                0.70144,                0.35079,                 1.3399,                 1.6285,                0.79146,                0.86902,               0.001514,               0.001514,               0.001514
                    101,                 1.6858,                 2.0226,                0.96413,                0.90545,                0.78281,                0.77564,                0.81467,                0.46261,                0.71241,                0.71154,                0.70144,                0.35079,                 1.3399,                 1.6285,                0.79146,                0.86902,               0.001505,               0.001505,               0.001505
